match_date,team_home,team_away,match_info_url,group,round
14/03/2017,Juventus,FC Porto,https://www.worldfootball.net/report/champions-league-2016-2017-achtelfinale-juventus-fc-porto/,,7
14/03/2017,Leicester City,Sevilla FC,https://www.worldfootball.net/report/champions-league-2016-2017-achtelfinale-leicester-city-sevilla-fc/,,7
15/03/2017,AS Monaco,Manchester City,https://www.worldfootball.net/report/champions-league-2016-2017-achtelfinale-as-monaco-manchester-city/,,7
15/03/2017,Atlético Madrid,Bayer Leverkusen,https://www.worldfootball.net/report/champions-league-2016-2017-achtelfinale-atletico-madrid-bayer-leverkusen/,,7
11/04/2017,Juventus,FC Barcelona,https://www.worldfootball.net/report/champions-league-2016-2017-viertelfinale-juventus-fc-barcelona/,,8
12/04/2017,Borussia Dortmund,AS Monaco,https://www.worldfootball.net/report/champions-league-2016-2017-viertelfinale-borussia-dortmund-as-monaco/,,8
12/04/2017,Atlético Madrid,Leicester City,https://www.worldfootball.net/report/champions-league-2016-2017-viertelfinale-atletico-madrid-leicester-city/,,8
12/04/2017,Bayern München,Real Madrid,https://www.worldfootball.net/report/champions-league-2016-2017-viertelfinale-bayern-muenchen-real-madrid/,,8
18/04/2017,Leicester City,Atlético Madrid,https://www.worldfootball.net/report/champions-league-2016-2017-viertelfinale-leicester-city-atletico-madrid/,,8
18/04/2017,Real Madrid,Bayern München,https://www.worldfootball.net/report/champions-league-2016-2017-viertelfinale-real-madrid-bayern-muenchen/,,8
19/04/2017,FC Barcelona,Juventus,https://www.worldfootball.net/report/champions-league-2016-2017-viertelfinale-fc-barcelona-juventus/,,8
19/04/2017,AS Monaco,Borussia Dortmund,https://www.worldfootball.net/report/champions-league-2016-2017-viertelfinale-as-monaco-borussia-dortmund/,,8
02/05/2017,Real Madrid,Atlético Madrid,https://www.worldfootball.net/report/champions-league-2016-2017-halbfinale-real-madrid-atletico-madrid/,,9
03/05/2017,AS Monaco,Juventus,https://www.worldfootball.net/report/champions-league-2016-2017-halbfinale-as-monaco-juventus/,,9
09/05/2017,Juventus,AS Monaco,https://www.worldfootball.net/report/champions-league-2016-2017-halbfinale-juventus-as-monaco/,,9
10/05/2017,Atlético Madrid,Real Madrid,https://www.worldfootball.net/report/champions-league-2016-2017-halbfinale-atletico-madrid-real-madrid/,,9
03/06/2017,Juventus,Real Madrid,https://www.worldfootball.net/report/champions-league-2016-2017-finale-juventus-real-madrid/,,10
